"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-May-2021","EQ","2,733.95","2,756.55","2,693.05","2,714.45","2,725.00","2,725.85","2,731.74","3,031.20","2,231.85","3,04,600","83,20,88,182.25","27,078"
"11-May-2021","EQ","2,762.80","2,773.00","2,708.00","2,766.80","2,715.95","2,714.45","2,734.93","3,031.20","2,231.85","3,58,588","98,07,14,738.15","17,259"
"10-May-2021","EQ","2,619.00","2,782.85","2,619.00","2,616.05","2,768.10","2,766.80","2,745.26","3,031.20","2,231.85","10,04,172","2,75,67,10,566.80","65,729"
"07-May-2021","EQ","2,636.30","2,659.80","2,609.75","2,607.05","2,619.00","2,616.05","2,632.41","3,031.20","2,231.85","2,70,174","71,12,07,656.50","16,766"
"06-May-2021","EQ","2,634.00","2,675.80","2,585.10","2,624.30","2,614.50","2,607.05","2,623.19","3,031.20","2,231.85","2,56,430","67,26,64,382.65","16,558"
"05-May-2021","EQ","2,526.80","2,635.00","2,484.95","2,506.20","2,623.00","2,624.30","2,600.07","3,031.20","2,231.85","6,30,735","1,63,99,52,817.75","32,237"
"04-May-2021","EQ","2,536.20","2,558.00","2,496.20","2,526.55","2,510.00","2,506.20","2,525.45","3,031.20","2,231.85","1,52,369","38,48,00,567.50","14,324"
"03-May-2021","EQ","2,509.00","2,537.50","2,496.50","2,509.25","2,525.00","2,526.55","2,519.65","3,031.20","2,231.85","1,35,289","34,08,81,217.35","8,813"
"30-Apr-2021","EQ","2,481.00","2,544.80","2,480.95","2,500.45","2,503.00","2,509.25","2,513.19","3,031.20","2,231.85","1,83,152","46,02,95,544.35","11,755"
"29-Apr-2021","EQ","2,534.80","2,534.80","2,475.50","2,502.30","2,500.00","2,500.45","2,497.29","3,031.20","2,231.85","3,83,210","95,69,85,157.75","23,027"
"28-Apr-2021","EQ","2,537.40","2,541.30","2,493.00","2,524.80","2,498.50","2,502.30","2,514.82","3,031.20","2,231.85","1,57,286","39,55,45,335.50","17,859"
"27-Apr-2021","EQ","2,520.00","2,541.95","2,490.05","2,511.45","2,523.00","2,524.80","2,515.73","3,031.20","2,231.85","2,46,584","62,03,38,276.70","19,055"
"26-Apr-2021","EQ","2,520.00","2,544.55","2,506.60","2,531.95","2,510.00","2,511.45","2,524.10","3,031.20","2,231.85","1,50,499","37,98,73,995.35","10,041"
"23-Apr-2021","EQ","2,592.95","2,599.00","2,509.65","2,576.70","2,525.00","2,531.95","2,547.33","3,031.20","2,231.85","2,99,523","76,29,84,308.80","18,882"
"22-Apr-2021","EQ","2,612.30","2,635.00","2,566.00","2,604.85","2,580.65","2,576.70","2,608.35","3,031.20","2,231.85","2,35,260","61,36,40,902.40","17,637"
"20-Apr-2021","EQ","2,609.15","2,635.00","2,578.05","2,596.20","2,611.00","2,604.85","2,609.24","3,031.20","2,231.85","2,60,221","67,89,79,473.75","16,334"
"19-Apr-2021","EQ","2,619.50","2,648.00","2,562.70","2,619.50","2,599.95","2,596.20","2,610.59","3,031.20","2,231.85","3,89,841","1,01,77,14,574.20","30,055"
"16-Apr-2021","EQ","2,570.00","2,631.00","2,552.10","2,565.00","2,613.00","2,619.50","2,593.69","3,031.20","2,225.00","2,74,608","71,22,48,693.15","15,552"
"15-Apr-2021","EQ","2,568.80","2,644.15","2,552.95","2,566.65","2,566.10","2,565.00","2,595.73","3,031.20","2,225.00","3,03,834","78,86,70,389.15","21,672"
"13-Apr-2021","EQ","2,583.00","2,607.05","2,544.05","2,555.80","2,576.40","2,566.65","2,562.36","3,031.20","2,225.00","3,09,988","79,43,00,265.05","16,610"
"12-Apr-2021","EQ","2,580.00","2,682.00","2,528.85","2,574.75","2,572.00","2,555.80","2,616.81","3,031.20","2,225.00","8,73,365","2,28,54,34,602.05","51,604"
