,,Torrent Pharmaceuticals Ltd.,,,,Nifty 50,,
DATE,,PREV. CLOSE,CLOSE,Daily Return,,OPEN,CLOSE,Daily Return %
01-02-2024,,2531.1,2512.5,-0.734858362,,21780.65,21697.45,-0.381990436
31-01-2024,,2473.15,2531.1,2.343165599,,21487.25,21725.7,1.109727862
30-01-2024,,2437.9,2473.15,1.445916568,,21775.75,21522.1,-1.164827847
29-01-2024,,2473.4,2437.9,-1.435271286,,21433.1,21737.6,1.420699759
25-01-2024,,2507.05,2473.4,-1.342214954,,21454.6,21352.6,-0.47542252
24-01-2024,,2493.35,2507.05,0.549461568,,21185.25,21453.95,1.26833528
23-01-2024,,2531.85,2493.35,-1.520627209,,21716.7,21238.8,-2.20061059
20-01-2024,,2463.85,2531.85,2.759908274,,21706.15,21571.8,-0.618949008
19-01-2024,,2462.55,2463.85,0.052790806,,21615.2,21622.4,0.033309893
18-01-2024,,2472.2,2462.55,-0.390340587,,21414.2,21462.25,0.22438382
17-01-2024,,2449.7,2472.2,0.918479814,,21647.25,21571.95,-0.347850189
16-01-2024,,2475.15,2449.7,-1.028220512,,22080.5,22032.3,-0.218292158
15-01-2024,,2468.75,2475.15,0.259240506,,22053.15,22097.45,0.200878333
12-01-2024,,2468.95,2468.75,-0.00810061,,21773.55,21894.55,0.555720128
11-01-2024,,2352.9,2468.95,4.932211314,,21688,21647.2,-0.188122464
10-01-2024,,2337.9,2352.9,0.641601437,,21529.3,21618.7,0.415248057
09-01-2024,,2324.6,2337.9,0.572141444,,21653.6,21544.85,-0.502225958
08-01-2024,,2350.1,2324.6,-1.08506021,,21747.6,21513,-1.078739723
05-01-2024,,2371.7,2350.1,-0.910739132,,21705.75,21710.8,0.023265725
04-01-2024,,2351.4,2371.7,0.863315472,,21605.8,21658.6,0.244378824
03-01-2024,,2322.2,2351.4,1.257428301,,21661.1,21517.35,-0.663632041
02-01-2024,,2296.3,2322.2,1.127901407,,21751.35,21665.8,-0.393308921
01-01-2024,,2305.55,2296.3,-0.401205786,,21727.75,21741.9,0.065124092
29-12-2023,,2255.6,2305.55,2.214488384,,21737.65,21731.4,-0.028751958
28-12-2023,,2263.75,2255.6,-0.360022087,,21715,21778.7,0.293345614
27-12-2023,,2282.3,2263.75,-0.812776585,,21497.65,21654.75,0.73077755
26-12-2023,,2222.5,2282.3,2.690663667,,21365.2,21441.35,0.356420722
22-12-2023,,2195.2,2222.5,1.243622449,,21295.85,21349.4,0.251457444
21-12-2023,,2147.05,2195.2,2.242611956,,21033.95,21255.05,1.051157771
20-12-2023,,2170.55,2147.05,-1.082674898,,21543.5,21150.15,-1.825840741
19-12-2023,,2144.2,2170.55,1.228896558,,21477.65,21453.1,-0.11430487
18-12-2023,,2093.35,2144.2,2.429120787,,21434.8,21418.65,-0.075344766
15-12-2023,,2103.4,2093.35,-0.477797851,,21287.45,21456.65,0.794834515
14-12-2023,,2079.1,2103.4,1.168774951,,21110.4,21182.7,0.342485221
13-12-2023,,2048,2079.1,1.518554687,,20929.75,20926.35,-0.016244819
12-12-2023,,2078.35,2048,-1.460293021,,21018.55,20906.4,-0.533576293
11-12-2023,,2053.45,2078.35,1.21259344,,20965.3,20997.1,0.151679203
08-12-2023,,2100.55,2053.45,-2.242269882,,20934.1,20969.4,0.168624398
07-12-2023,,2079.95,2100.55,0.990408423,,20932.4,20901.15,-0.149290096
06-12-2023,,2100,2079.95,-0.954761905,,20950.75,20937.7,-0.06228894
05-12-2023,,2133.6,2100,-1.57480315,,20808.9,20855.1,0.222020386
04-12-2023,,2151.25,2133.6,-0.820453225,,20601.95,20686.8,0.411854218
01-12-2023,,2126.55,2151.25,1.161505725,,20194.1,20267.9,0.365453276
30-11-2023,,2091.85,2126.55,1.658818749,,20108.5,20133.15,0.122584977
29-11-2023,,2079,2091.85,0.618085618,,19976.55,20096.6,0.600954619
28-11-2023,,2090.8,2079,-0.564377272,,19844.65,19889.7,0.227013326
24-11-2023,,2106.55,2090.8,-0.747667988,,19809.6,19794.7,-0.075216057
23-11-2023,,2111.55,2106.55,-0.236792877,,19828.45,19802,-0.133394189
22-11-2023,,2119.65,2111.55,-0.382138561,,19784,19811.85,0.140770319
21-11-2023,,2110.75,2119.65,0.421651072,,19770.9,19783.4,0.063224234
20-11-2023,,2082.35,2110.75,1.363843734,,19731.15,19694,-0.188280967
17-11-2023,,2039.55,2082.35,2.098502121,,19674.75,19731.8,0.289965565
16-11-2023,,2054.6,2039.55,-0.732502677,,19674.7,19765.2,0.459981601
15-11-2023,,2066,2054.6,-0.5517909,,19651.4,19675.45,0.122383138
13-11-2023,,2063.9,2066,0.101749116,,19486.75,19443.55,-0.221689096
12-11-2023,,2058.2,2063.9,0.276941016,,19547.25,19525.55,-0.111013058
10-11-2023,,2051.2,2058.2,0.341263651,,19351.85,19425.35,0.379808649
09-11-2023,,2028.1,2051.2,1.138997091,,19457.4,19395.3,-0.319158778
08-11-2023,,1998.4,2028.1,1.486188951,,19449.6,19443.5,-0.031363113
07-11-2023,,1966.5,1998.4,1.62217137,,19404.05,19406.7,0.013656943
06-11-2023,,1960.4,1966.5,0.311160988,,19345.85,19411.75,0.340641533
03-11-2023,,1927.4,1960.4,1.712151084,,19241,19230.6,-0.054051245
02-11-2023,,1920.05,1927.4,0.382802531,,19120,19133.25,0.069299163
01-11-2023,,1924.25,1920.05,-0.218266857,,19064.05,18989.15,-0.392886087
31-10-2023,,1930.35,1924.25,-0.31600487,,19232.95,19079.6,-0.797329583
30-10-2023,,1920.65,1930.35,0.505037357,,19053.4,19140.9,0.459235622
27-10-2023,,1889.65,1920.65,1.640515439,,18928.75,19047.25,0.62603183
26-10-2023,,1922.25,1889.65,-1.69592925,,19027.25,18857.25,-0.893455439
25-10-2023,,1877.3,1922.25,2.394396207,,19286.45,19122.15,-0.851893428
23-10-2023,,1891.6,1877.3,-0.755973779,,19521.6,19281.75,-1.228639046
20-10-2023,,1919.2,1891.6,-1.438099208,,19542.15,19542.65,0.002558572
19-10-2023,,1917,1919.2,0.11476265,,19545.2,19624.7,0.406749483
18-10-2023,,1921.55,1917,-0.23678801,,19820.45,19671.1,-0.753514678
17-10-2023,,1912.35,1921.55,0.481083484,,19843.2,19811.5,-0.159752459
16-10-2023,,1895.6,1912.35,0.883625237,,19737.25,19731.75,-0.027866091
13-10-2023,,1881.5,1895.6,0.749402073,,19654.55,19751.05,0.49098046
12-10-2023,,1885.5,1881.5,-0.21214532,,19822.7,19794,-0.144783506
11-10-2023,,1868.25,1885.5,0.923323966,,19767,19811.35,0.224363839
10-10-2023,,1890.65,1868.25,-1.184777722,,19565.6,19689.85,0.635043137
09-10-2023,,1894.05,1890.65,-0.179509517,,19539.45,19512.35,-0.138693771
06-10-2023,,1850.6,1894.05,2.347887172,,19621.2,19653.5,0.164617862
05-10-2023,,1864.15,1850.6,-0.726872837,,19521.85,19545.75,0.122426922
04-10-2023,,1880.25,1864.15,-0.856269113,,19446.3,19436.1,-0.052452137
03-10-2023,,1929.1,1880.25,-2.532268934,,19622.4,19528.75,-0.477260682
29-09-2023,,1863.6,1929.1,3.514702726,,19581.2,19638.3,0.291606235
28-09-2023,,1847.8,1863.6,0.855070895,,19761.8,19523.55,-1.205608801
27-09-2023,,1832.6,1847.8,0.829422678,,19637.05,19716.45,0.404337719
26-09-2023,,1847.15,1832.6,-0.78769997,,19682.8,19664.7,-0.091958461
25-09-2023,,1850.4,1847.15,-0.1756377,,19678.2,19674.55,-0.018548444
22-09-2023,,1874.4,1850.4,-1.280409731,,19744.85,19674.25,-0.357561592
21-09-2023,,1884.15,1874.4,-0.517474723,,19840.55,19742.35,-0.494945957
20-09-2023,,1884.45,1884.15,-0.015919764,,19980.75,19901.4,-0.39713224
18-09-2023,,1872,1884.45,0.665064103,,20155.95,20133.3,-0.112373766
15-09-2023,,1839.7,1872,1.755721041,,20156.45,20192.35,0.17810676
14-09-2023,,1868.55,1839.7,-1.543977951,,20127.95,20103.1,-0.123460164
13-09-2023,,1857.5,1868.55,0.594885599,,19989.5,20070,0.402711423
12-09-2023,,1867.25,1857.5,-0.522158254,,20110.15,19993.2,-0.581547129
11-09-2023,,1872.75,1867.25,-0.293685756,,19890,19996.35,0.534690799
08-09-2023,,1891.5,1872.75,-0.991276764,,19774.8,19819.95,0.228320893
07-09-2023,,1922.05,1891.5,-1.589448766,,19598.65,19727.05,0.655147166
06-09-2023,,1873.5,1922.05,2.591406459,,19581.2,19611.05,0.152442138
05-09-2023,,1827,1873.5,2.545155993,,19564.65,19574.9,0.052390408
04-09-2023,,1785.8,1827,2.30708926,,19525.05,19528.8,0.019206097
01-09-2023,,1842.5,1785.8,-3.07734057,,19258.15,19435.3,0.919870289
31-08-2023,,1954.7,1842.5,-5.740011255,,19375.55,19253.8,-0.628369259
30-08-2023,,1958.8,1954.7,-0.209311824,,19433.45,19347.45,-0.442535937
29-08-2023,,1958.15,1958.8,0.033194597,,19374.85,19342.65,-0.166194835
28-08-2023,,1937.8,1958.15,1.050159975,,19298.35,19306.05,0.039899784
25-08-2023,,1961.95,1937.8,-1.230918219,,19297.4,19265.8,-0.16375263
24-08-2023,,1938.5,1961.95,1.20969822,,19535.15,19386.7,-0.759912261
23-08-2023,,1976.6,1938.5,-1.927552363,,19439.2,19444,0.024692374
22-08-2023,,1975.75,1976.6,0.043021637,,19417.1,19396.45,-0.106349558
21-08-2023,,1980.6,1975.75,-0.24487529,,19320.65,19393.6,0.377575289
18-08-2023,,1983.25,1980.6,-0.13361906,,19301.75,19310.15,0.04351937
